location	strings	target	target-marathi-final
GdalToolsDialog#56	Select the input file for Proximity	निकटता के लिए आगत फाइल का चयन करें	
GdalToolsDialog#57	Warning	चेतावनी	
GdalToolsDialog#58	Warning: CRS information for all raster in subfolders will be rewritten. Are you sure?	चेतावनी: उप-फोल्डर्स में सभी रास्टरों के लिए CRS जानकारी पुन: लिखी जाएगी. क्या आप आश्वस्त है?	
GdalToolsDialog#59	Finished	संपूर्ण	
GdalToolsDialog#60	Processing completed.	प्रोसेसिंग पूर्ण.	
GdalToolsDialog#61	Assign projection	प्रक्षेपण निर्धारित करें	
GdalToolsDialog#62	This raster already found in map canvas	यह रास्टर पहले ही मैप कैनवास में पाया गया	
GdalToolsDialog#63	Select where to save the Polygonize output	बहुभुजित निर्गम संरक्षित करने के लिए स्थान का चयन करें	
GdalToolsExtentSelector#1	Select the extent by drag on canvas	कैनवास पर खींच कर विस्तार चयन करें	
GdalToolsExtentSelector#2	or change the extent coordinates	या विस्तार निर्देशांक बदलें	
GdalToolsExtentSelector#3	x	x	
GdalToolsExtentSelector#4	y	y	
GdalToolsExtentSelector#5	2	2	
GdalToolsExtentSelector#6	1	1	
GdalToolsExtentSelector#7	Re-Enable	पुनः-सक्षम करें	
GdalToolsInOutSelector#1	Select...	चयन करें...	
GdalToolsOptionsTable#1	Name	नाम	
GdalToolsOptionsTable#2	Value	मान	
GdalToolsOptionsTable#3	Add	जोड़ें	
GdalToolsOptionsTable#4	Remove	हटायें	
GdalToolsSettingsDialog#1	Gdal Tools settings	जीडाल साधन समायोजन	
GdalToolsSettingsDialog#2	Path to the GDAL executables	जीडाल एक्जीक्यूटेबल्स के लिए पथ	
GdalToolsSettingsDialog#3	Browse	तलाशें	
GdalToolsSettingsDialog#4	Path to the GDAL python modules	जीडाल पायथन मॉड्यूल के लिए पथ	
GdalToolsSettingsDialog#5	GDAL help path	जीडाल सहायता पथ	
GdalToolsSettingsDialog#6	GDAL data path	जीडाल डेटा पथ	
GdalToolsSettingsDialog#7	GDAL driver path	जीडाल चालक पथ	
GdalToolsSettingsDialog#8	A list of colon-separated (Linux and MacOS) or semicolon-separated (Windows) paths to both binaries and python executables.  MacOS users usually need to set it to something like /Library/Frameworks/GDAL.framework/Versions/1.8/Programs	एक कॉलन-विभाजितों (Linux और MacOS) या सेमीकॉलन-विभाजित (Windows) दोनों बायनेरिज़ के पथो और पायथन एक्जीक्यूटेबल्स की सूची . MacOS उपयोगकर्ताओं को आमतौर पर ऐसा कुछ सैट करने की जरूरत है /Library/Frameworks/GDAL.framework/Versions/1.8/Programs	
GdalToolsSettingsDialog#9	A list of colon-separated (Linux and MacOS) or semicolon-separated (Windows) paths to python modules.	एक कॉलन-विभाजितों (Linux और MacOS) या सेमीकॉलन-विभाजित (Windows) पायथन मॉड्यूल के लिए पथों की सूची.	
GdalToolsSettingsDialog#10	Useful to open local GDAL documentation instead of online help when pressing on the tool dialog's Help button.	जब संवाद-साधन के सहायता बटन को दबा रहे हैं तब ऑनलाइन सहायता के बजाय स्थानीय जीडाल प्रलेखन खोलना में उपयोगी	
GdalToolsSettingsDialog#11	Select directory with GDAL executables	जीडाल एक्जीक्यूटेबल्स के साथ डायरेक्टरी चयन करें	
GdalToolsSettingsDialog#12	Select directory with GDAL python modules	जीडाल पायथन मॉड्यूल के साथ डायरेक्टरी चयन करें	
GdalToolsSettingsDialog#13	Select directory with the GDAL documentation	जीडाल प्रलेखन के साथ डायरेक्टरी चयन करें	
GdalToolsWidget#1	Build Virtual Raster (Catalog)	आभासी रास्टर (सूचक) बनाएँ	
GdalToolsWidget#2	Use visible raster layers for input	आगत के लिए दिखती-हुई रास्टर लयेरों का उपयोग करें	
GdalToolsWidget#3	Choose input directory instead of files	फाइलों के बजाय आगत डायरेक्टरी चुनें	
GdalToolsWidget#4	&Input files	&आगत फाइलें	
GdalToolsWidget#5	Recurse subdirectories	बारंबार उप-डायरेक्टरियां	
GdalToolsWidget#6	&Output file	&निर्गम फाइल	
GdalToolsWidget#7	Target SRS		
GdalToolsWidget#8	&Resolution	&रिजोल्यूशन	
GdalToolsWidget#9	Highest	उच्चतम	
GdalToolsWidget#10	Average	औसत	
GdalToolsWidget#11	Lowest	निम्नतम	
GdalToolsWidget#12	Select	चयन करें	
GdalToolsWidget#13	&Source No Data	&कोई-डेटा-नहीं स्रोत	
GdalToolsWidget#14	Se&parate	पृथ&क करें	
GdalToolsWidget#15	Allow projection difference	प्रक्षेपण वैभिन्य की अनुमति दें	
GdalToolsWidget#16	Clipper	कतरनी	
GdalToolsWidget#17	&No data value	&कोई-डेटा-नहीं मान	
GdalToolsWidget#18	&Input file (raster)	&आगत फाइल (रास्टर)	
GdalToolsWidget#19	Clipping mode	कतरनी मोड	
GdalToolsWidget#20	X Resolution		
GdalToolsWidget#21	Y Resolution		
GdalToolsWidget#22	Set output file resolution		
GdalToolsWidget#23	Keep resolution of input raster		
GdalToolsWidget#24	Crop the extent of the target dataset to the extent of the cutline		
GdalToolsWidget#25	Extent	विस्तार	
GdalToolsWidget#26	Mask layer	नकाब लेयर	
GdalToolsWidget#27	Create an output alpha band	एक निर्गम अल्फा बैंड बनावें	
GdalToolsWidget#28	Contour	समोच्च-रेखा	
GdalToolsWidget#29	&Output file for contour lines (vector)	&समोच्च रेखाओं के लिए निर्गम फाइल (वेक्टर)	
GdalToolsWidget#30	I&nterval between contour lines	स&मोच्च रेखाओं के बीच अंतराल	
GdalToolsWidget#31	&Attribute name	&गुणधर्म नाम	
GdalToolsWidget#32	If not provided, no elevation attribute is attached.	अगर उपलब्ध नहीं कराया तो, कोई ऊंचाई गुणधर्म नहीं जुड़ेगा.	
GdalToolsWidget#33	ELEV	ऊंचाई	
GdalToolsWidget#34	Convert RGB image to paletted	RGB इमेज को पैलेटेड में परिवर्तित करें	
GdalToolsWidget#35	Batch mode (for processing whole directory)	बैच मोड (पूरी डायरेक्टरी की प्रोसेसिंग के लिए)	
GdalToolsWidget#36	&Input file	&आगत फाइल	
GdalToolsWidget#37	Number of colors	रंगों की संख्या	
GdalToolsWidget#38	Band to convert	परिवर्तित करने के लिए बैंड	
GdalToolsWidget#39	DEM (Terrain models)	DEM (भूभाग मॉडल)	
GdalToolsWidget#40	&Input file (DEM raster)	&आगत फाइल (DEM रास्टर)	
GdalToolsWidget#41	&Band	&बैंड	
GdalToolsWidget#42	Compute &edges	किनारों की & गणना करें	
GdalToolsWidget#43	Use Zevenbergen&&Thorne formula (instead of the Horn's one)	Zevenbergen &&Thorne सूत्र का उपयोग करें (Horn's के बजाय)	
GdalToolsWidget#44	&Mode	&मोड	
GdalToolsWidget#45	Hillshade	पहाड़-छाया	
GdalToolsWidget#46	Slope	ढाल	
GdalToolsWidget#47	Aspect	ढाल-कोण	
GdalToolsWidget#48	Color relief	रंगीन उभार	
GdalToolsWidget#49	TRI (Terrain Ruggedness Index)	TRI (भूभाग खुरदरापन अनुक्रमणिका)	
GdalToolsWidget#50	TPI (Topographic Position Index)	TPI (स्थलाकृतिक स्थिति अनुक्रमणिका)	
GdalToolsWidget#51	Roughness	खुरदरापन	
GdalToolsWidget#52	Mode Options	मोड विकल्प	
GdalToolsWidget#53	Z factor (vertical exaggeration)	Z कारक (लम्बवत अतिश्योक्ति)	
GdalToolsWidget#54	Scale (ratio of vert. units to horiz.)	पैमाना (लम्बवत इकाइयों का क्षैतिज इकाइयों से अनुपात)	
GdalToolsWidget#55	Azimuth of the light	प्रकाश का दिगंश	
GdalToolsWidget#56	Altitude of the light	प्रकाश की ऊंचाई	
GdalToolsWidget#57	Slope expressed as percent (instead of as degrees)	ढलान प्रतिशत के रूप में (बजाय डिग्री के)	
GdalToolsWidget#58	Return trigonometric angle (instead of azimuth)	त्रिकोणमितीय कोण लायें (बजाय दिगंश के)	
GdalToolsWidget#59	Return 0 for flat (instead of -9999)	समतल के लिए 0 लायें (बजाय -9999 के)	
GdalToolsWidget#60	Color configuration file	रंग विन्यास फाइल	
GdalToolsWidget#61	Matching mode	मिलता हुआ मोड	
GdalToolsWidget#62	Exact color (otherwise "0,0,0,0" RGBA)	सही रंग (अन्यथा "0,0,0,0" RGBA)	
GdalToolsWidget#63	Nearest color	निकटतम रंग	
GdalToolsWidget#64	Add alpha channel	अल्फा चैनल जोड़ें	
GdalToolsWidget#65	&Creation Options	&निर्माण के विकल्प	
GdalToolsWidget#66	Fill Nodata	भरें: कोई-डेटा-नहीं	
GdalToolsWidget#67	&Input Layer	&आगत लेयर	
GdalToolsWidget#68	Output format	निर्गम प्रारूप	
GdalToolsWidget#69	Search distance	दूरी खोजें	
GdalToolsWidget#70	Smooth iterations	सुगम पुनरावृत्तियाँ	
GdalToolsWidget#71	Band to operate on	संचालन हेतु बैंड	
GdalToolsWidget#72	Validity mask	वैधता नकाब	
GdalToolsWidget#73	Do not use the default validity mask	स्वतः वैधता नकाब का उपयोग न करें	
GdalToolsWidget#74	Grid (Interpolation)	ग्रिड (अंतरवेषण)	
GdalToolsWidget#75	&Z Field	&Z स्‍तंभ	
GdalToolsWidget#76	&Algorithm	&एल्‍गोरिदम	
GdalToolsWidget#77	Inverse distance to a power	दूरी के प्रतिलोम शक्ति	
GdalToolsWidget#78	Moving average	चलायमान औसत	
GdalToolsWidget#79	Nearest neighbor	निकटतम पड़ोसी	
GdalToolsWidget#80	Data metrics	डेटा मेट्रिक्स	
GdalToolsWidget#81	Power	शक्ति	
GdalToolsWidget#82	Smoothing	सुगम करना	
GdalToolsWidget#83	Radius1	त्रिज्या1	
GdalToolsWidget#84	Radius2	त्रिज्या 2	
GdalToolsWidget#85	Max points	अधिकतम बिंदु	
GdalToolsWidget#86	Min points	न्यूनतम बिंदु	
GdalToolsWidget#87	Angle	कोण	
GdalToolsWidget#88	No data	कोई-डेटा-नहीं	
GdalToolsWidget#89	Metrics	मेट्रिक्स	
GdalToolsWidget#90	Minimum	न्यूनतम	
GdalToolsWidget#91	Maximum	अधिकतम	
GdalToolsWidget#92	Range	रेंज	
GdalToolsWidget#93	Resize	आकार बदलें	
GdalToolsWidget#94	Width	चौड़ाई	
GdalToolsWidget#95	Height	ऊंचाई	
GdalToolsWidget#96	Info	जानकारी	
GdalToolsWidget#97	Raster info	रास्टर जानकारी	
GdalToolsWidget#98	Suppress GCP printing	धरातल नियंत्रण बिंदु छपाई रोकें	
GdalToolsWidget#99	Suppress metadata printing	मेटाडेटा छपाई रोकें	
GdalToolsWidget#100	Merge	विलय	
GdalToolsWidget#101	Place each input file into a separate band		
GdalToolsWidget#102	Use intersected extent	प्रतिच्छेद विस्तार उपयोग करें	
GdalToolsWidget#103	Grab pseudocolor table from the first image	पहली इमेज से छद्म रंग टेबल पकड़ो	
GdalToolsWidget#104	Near Black	लगभग काला	
GdalToolsWidget#105	How &far from black (or white)	काले से कितना &दूर (या सफेद)	
GdalToolsWidget#106	Search for nearly &white (255) pixels instead of black ones	(255) लगभग &सफेद पिक्सल खोजें बजाय काले के	
GdalToolsWidget#107	Build overviews (Pyramids)	(पिरामिड) सिंहावलोकन बनाएँ	
GdalToolsWidget#108	Remove all overviews.	सभी सिंहावलोकन को हटायें	
GdalToolsWidget#109	Clean	साफ करें	
GdalToolsWidget#110	Polygonize (Raster to vector)	बहुभुजीकरण (रास्टर से वेक्टर)	
GdalToolsWidget#111	&Output file for polygons (shapefile)	&बहुभुज के लिए निर्गम फाइल (शेपफाइल)	
GdalToolsWidget#112	&Field name	&स्‍तंभ का नाम	
GdalToolsWidget#113	DN	DN	
GdalToolsWidget#114	Use mask	मुखौटे का उपयोग करें	
GdalToolsWidget#115	Assign projection	प्रक्षेपण निर्धारित करें	
GdalToolsWidget#116	WARNING: current projection definition will be cleared	चेतावनी: वर्तमान प्रक्षेपण परिभाषा साफ हो जाएगी	
GdalToolsWidget#117	Desired SRS	वांछित SRS	
GdalToolsWidget#118	Output will be: - new GeoTiff if input file is not GeoTiff - overwritten if input is GeoTiff	निर्गम होगा: - नई GeoTiff, अगर आगत फ़ाइल GeoTiff नहीं है - अगर आगत GeoTiff है तो उपरिलेखन करें	
GdalToolsWidget#119	Select...	चयन करें...	
GdalToolsWidget#120	Proximity (Raster distance)	निकटता (रास्टर दूरी)	
GdalToolsWidget#121	&Values	&मान	
GdalToolsWidget#122	&Dist units	& दूरी इकाइयॉ	
GdalToolsWidget#123	GEO	GEO	
GdalToolsWidget#124	PIXEL	पिक्सल	
GdalToolsWidget#125	&Max dist	&अधिकतम दूरी	
GdalToolsWidget#126	&No data	&कोई-डेटा-नहीं	
GdalToolsWidget#127	&Fixed buf val	&निश्चित बफर मान	
GdalToolsWidget#128	0	0	
GdalToolsWidget#129	Rasterize (Vector to raster)	रास्टराइज़ करें (वेक्टर से रास्टर)	
GdalToolsWidget#130	&Input file (shapefile)	&आगत फाइल ((शेपफाइल)	
GdalToolsWidget#131	&Attribute field	&गुणधर्म स्‍तंभ	
GdalToolsWidget#132	&Output file for rasterized vectors (raster)	&रास्टराइज़ वेक्टरों के लिए निर्गम फाइल (रास्टर)	
GdalToolsWidget#133	Keep existing raster size and resolution	मौजूदा रास्टर आकार और रिजॉल्‍यूशन बनाए रखें	
GdalToolsWidget#134	Raster size in pixels	पिक्सल में रास्टर आकार	
GdalToolsWidget#135	Raster resolution in map units per pixel	मैप इकाइयों में रास्टर रिजॉल्‍यूशन प्रति पिक्सल	
GdalToolsWidget#136	Horizontal	क्षैतिज	
GdalToolsWidget#137	Vertical	लम्बवत	
GdalToolsWidget#138	Sieve	छलनी	
GdalToolsWidget#139	&Threshold	&दहलीज	
GdalToolsWidget#140	&Pixel connections	&पिक्सल संपर्क	
GdalToolsWidget#141	4	4	
GdalToolsWidget#142	8	8	
GdalToolsWidget#143	Raster tile index	रास्टर टाइल अनुक्रमणिका	
GdalToolsWidget#144	Input directory	आगत डायरेक्टरी	
GdalToolsWidget#145	Output shapefile	निर्गम शेपफाइल	
GdalToolsWidget#146	Tile index field	टाइल अनुक्रमणिका स्‍तंभ	
GdalToolsWidget#147	location	स्थान	
GdalToolsWidget#148	Skip files with different projection ref	भिन्न प्रक्षेपण संदर्भ वाली फाइलें छोड़ दें	
GdalToolsWidget#149	Translate (Convert format)	भाषान्तर (प्रारूप परिवर्तन)	
GdalToolsWidget#150	&Target SRS	&लक्ष्य SRID	
GdalToolsWidget#151	Percentage to resize image. This will change pixel size/image resolution accordingly: 25% will create an image with pixels 4x larger.	इमेज का आकार बदलने के लिए प्रतिशत. यह तदनुसार पिक्सल आकार/इमेज रिजॉल्‍यूशन बदल देगा: 25% 4गुना बड़े पिक्सलों के साथ एक इमेज का निर्माण करेगा.	
GdalToolsWidget#152	Outsize	अधिकबड़ा	
GdalToolsWidget#153	%	%	
GdalToolsWidget#154	Assign a specified nodata value to output bands.	निर्गम बैंडों के लिए एक निर्दिष्ट कोई-डेटा-नहीं मान निर्धारित करें	
GdalToolsWidget#155	To expose a dataset with 1 band with a color table as a dataset with 3 (RGB) or 4 (RGBA) bands.  Useful for output drivers such as JPEG, JPEG2000, MrSID, ECW that don't support color indexed datasets.  The 'gray' value (from GDAL 1.7.0) enables to expand a dataset with a color table that only contains gray levels to a gray indexed dataset.		
GdalToolsWidget#156	Expand	प्रसार करें	
GdalToolsWidget#157	Gray	भूरा	
GdalToolsWidget#158	RGB	RGB	
GdalToolsWidget#159	RGBA	RGBA	
GdalToolsWidget#160	Selects a subwindow from the source image for copying based on pixel/line location. (Enter Xoff Yoff Xsize Ysize)	पिक्सेल/रेखा स्थान के आधार पर कॉपी करने के लिए स्रोत इमेज से एक उप विंडो का चयन करें. (Xखिसकन Yखिसकन Yआकार Xआकार दर्ज करें)	
GdalToolsWidget#161	Srcwin	Srcwin	
GdalToolsWidget#162	Selects a subwindow from the source image for copying (like -srcwin) but with the corners given in georeferenced coordinates. (Enter ulx uly lrx lry)	कॉपी करने के लिए स्रोत इमेज से उप विंडो (जैसे srcwin) का चयन करें लेकिन भू-संदर्भित निर्देशांकों में में दिये गये कोनों के साथ (ulx uly lrx lry दर्ज करें)	
GdalToolsWidget#163	Prjwin	Prjwin	
GdalToolsWidget#164	Copy all subdatasets of this file to individual output files. Use with formats like HDF or OGDI that have subdatasets.	इस फाइल के सभी उप डेटासेटों को अलग-अलग निर्गम फाइलों कॉपी करें. HDF या OGDI जैसे प्रारूपों के साथ उपयोग करें जिनमें उप डेटासेटों होता है.	
GdalToolsWidget#165	Sds	Sds	
GdalToolsWidget#166	Warp (Reproject)	विरूपण (पुनः प्रक्षेपण)	
GdalToolsWidget#167	&Source SRS	&स्रोत SRID	
GdalToolsWidget#168	&Resampling method	&पुन: नमूना चयन​ विधि	
GdalToolsWidget#169	Near	निकट	
GdalToolsWidget#170	Bilinear	द्विरेखीय	
GdalToolsWidget#171	Cubic	घनीय	
GdalToolsWidget#172	Cubic spline	घनीय स्प्लाइन	
GdalToolsWidget#173	Lanczos	Lanczos	
GdalToolsWidget#174	No data values	कोई-डेटा-मान-नहीं	
GdalToolsWidget#175	&Memory used for caching	कैशिंग के लिए उपयोगित मेमोरी	
GdalToolsWidget#176	MB	MB	
GdalToolsWidget#177	Use m&ultithreaded warping implementation	बहु&रास्ता विरूपण कार्यान्वयन उपयोग करें	
GdalToolsWidget#178	&Output directory for contour lines (shapefile)	&समोच्च रेखाओं के लिए निर्गम डायरेक्टरी (शेपफाइल)	
GeoAlgorithm#1	Uncaught error while executing algorithm	एल्‍गोरिदम निष्‍पादित करते हुये नहीं पकडी गई गलती	
GeoAlgorithm#2	See log for more details	ज्‍यादा विवरण के लिये लॉग देखें	
GeoAlgorithm#3	Converting outputs	निर्गत परिवर्तित कर रहा	
GeometryByExpression#1	Vector geometry		
GeometryByExpression#2	Polygon	बहुभुज	
GeometryByExpression#3	Output geometry type	निर्गम ज्यामिति प्रकार	
GeometryByExpression#4	Output geometry has z dimension		
GeometryByExpression#5	Output geometry has m values		
GeometryByExpression#6	Geometry expression		
GeometryByExpression#7	Geometry by expression		
GeometryByExpression#8	Modified geometry		
GeometryByExpression#9	Evaluation error: {0}		
GeometryByExpression#10	{} is not a geometry		
GeometryConvert#1	Vector geometry tools	वेक्टर ज्यामिति साधन	
GeometryConvert#2	Vector geometry		
GeometryConvert#3	Centroids	केन्‍द्रक	
GeometryConvert#4	Nodes	नोड	
GeometryConvert#5	Linestrings		
GeometryConvert#6	Multilinestrings		
GeometryConvert#7	Polygons	बहुभुज	
GeometryConvert#8	Input layer	आगत लेयर	
GeometryConvert#9	New geometry type	नया ज्यामिति प्रकार	
GeometryConvert#10	Converted	परिवर्तित	
GeometryConvert#11	Cannot convert from {0} to LineStrings		
GeometryConvert#12	Cannot convert from {0} to MultiLineStrings		
GeometryConvert#13	Cannot convert from Point to Polygon		
GeometryConvert#14	Cannot convert from %s to %s	%s को %s से परिवर्तित नहीं कर सकते	
GeometryConvert#15	Convert geometry type	ज्यामिति प्रकार परिवर्तित करें	
GeometryGeneratorWidgetBase#1	Form	प्रपत्र	
GeometryGeneratorWidgetBase#2	Geometry Type		
GetModelsAction#1	Repository error		
GetModelsAction#2	Scripts and models repository is not configured.		
GetScriptsAction#1	Repository error		
GetScriptsAction#2	Scripts and models repository is not configured.		
GetScriptsAndModelsDialog#1	Search...	खोजें...	
GetScriptsAndModelsDialog#2	Could not connect to scripts/models repository	स्क्रिप्‍ट/मॉडल रिपॉजिटरी से संपर्क नहीं कर सकते	
GetScriptsAndModelsDialog#3	Network error code: {} on URL: {}		
GetScriptsAndModelsDialog#4	Processing	प्रोसेसिंग	
GetScriptsAndModelsDialog#5	Installed	स्‍थापित किया	
GetScriptsAndModelsDialog#6	Updatable	अद्यतनयोग्‍य	
GetScriptsAndModelsDialog#7	Not installed	स्‍थापित नहीं	
GetScriptsAndModelsDialog#8	<h2>JSON Decoding Error - could not load help</h2>		
GetScriptsAndModelsDialog#9	<h2>Unspecified Error - could not load help</h2>		
GetScriptsAndModelsDialog#10	<p><b>Description:</b> {0}</p>		
GetScriptsAndModelsDialog#11	<p><b>Created by:</b> {0}		
GetScriptsAndModelsDialog#12	<p><b>Version:</b> {0}		
GetScriptsAndModelsDialog#13	<p><b>Description:</b> %s</p>	<p><b>विवरण:</b> %s</p>	
GetScriptsAndModelsDialog#14	<p><b>Created by:</b> %s	<p><b>द्वारा बनाये गये:</b> %s	
GetScriptsAndModelsDialog#15	<p><b>Version:</b> %s	<p><b>संस्‍करण:</b> %s	
GetScriptsAndModelsDialog#16	<h2>No detailed description available for this script</h2>	<h2>इस स्क्रिप्‍ट के लिये कोई विस्तृत विवरण उपलब्‍ध नहीं</h2>	
GetScriptsAndModelsDialog#17	Connection problem	संपर्क समस्‍या	
GetScriptsAndModelsDialog#18	<h3> Processing resources manager </h3><p>Check/uncheck algorithms in the tree to select the ones that you want to install or remove</p><p>Algorithms are divided in 3 groups:</p><ul><li><b>Installed:</b> Algorithms already in your system, with the latest version available</li><li><b>Updatable:</b> Algorithms already in your system, but with a newer version available in the server</li><li><b>Not installed:</b> Algorithms not installed in your system</li></ul>		
GlobePlugin#1	Launch Globe	ग्लोब प्रक्षेपित करें	
GlobePlugin#2	&Globe	&ग्‍लोब	
Grass7Algorithm#1	Could not open GRASS GIS 7 algorithm: %s %s	ग्रास जी.आई.एस. 7 एल्गोरिदम नहीं खोली जा सकती: %s %s	
Grass7Algorithm#2	Could not open GRASS GIS 7 algorithm: {0} {1}		
Grass7Algorithm#3	Processing	प्रोसेसिंग	
Grass7Algorithm#4	GRASS GIS 7 region extent	ग्रास जी.आई.एस. 7 क्षेत्र विस्‍तार	
Grass7Algorithm#5	GRASS GIS 7 region cellsize (leave 0 for default)	ग्रास जी.आई.एस. 7 क्षेत्र कोशाणु-आकार (स्वतः मान के लिये 0 छोडें)	
Grass7Algorithm#6	Output Rasters format options (createopt)		
Grass7Algorithm#7	Output Rasters format metadata options (metaopt)		
Grass7Algorithm#8	v.in.ogr snap tolerance (-1 = no snap)		
Grass7Algorithm#9	v.in.ogr min area		
Grass7Algorithm#10	v.out.ogr output type		
Grass7Algorithm#11	GRASS GIS 7 folder is not configured. Please configure it before running GRASS GIS 7 algorithms.	ग्रास जी.आई.एस. 7 फ़ोल्डर कॉन्फ़िगर नहीं किया गया है. कृपया ग्रास जी.आई.एस. 7 एल्गोरिदम चलाने से पहले इसे कॉन्फ़िगर करें.	
Grass7Algorithm#12	GRASS GIS 7 execution commands	ग्रास जी.आई.एस. 7 निष्‍पादन आदेश	
Grass7AlgorithmProvider#1	Activate	सक्रिय	
Grass7AlgorithmProvider#2	GRASS7 folder	ग्रास7 फोल्डर	
Grass7AlgorithmProvider#3	Log execution commands	लाॅग निष्‍पादन आदेश	
Grass7AlgorithmProvider#4	Log console output	लाॅग कंसोल निर्गम	
Grass7AlgorithmProvider#5	Location of GRASS docs		
Grass7AlgorithmProvider#6	For vector layers, use v.external (faster) instead of v.in.ogr		
Grass7AlgorithmProvider#7	Could not open GRASS GIS 7 algorithm: {0}		
Grass7AlgorithmProvider#8	Processing	प्रोसेसिंग	
Grass7AlgorithmProvider#9	Could not open GRASS GIS 7 algorithm: {0} {1}		
Grass7AlgorithmProvider#10	Could not open GRASS GIS 7 algorithm: %s	ग्रास जी.आई.एस. 7 एल्गोरिदम नहीं खोली जा सकती: %s	
Grass7AlgorithmProvider#11	Could not open GRASS GIS 7 algorithm: %s %s	ग्रास जी.आई.एस. 7 एल्गोरिदम नहीं खोली जा सकती: %s %s	
Grass7AlgorithmProvider#12	GRASS GIS 7 commands	ग्रास जी.आई.एस. 7 आदेश	
Grass7Utils#1	GRASS GIS 7 execution console output	ग्रास जी.आई.एस. 7 निष्‍पादन कंसोल निर्गम	
Grass7Utils#2	GRASS GIS 7 folder is not configured. Please configure it before running GRASS GIS 7 algorithms.	ग्रास जी.आई.एस. 7 फ़ोल्डर कॉन्फ़िगर नहीं किया गया है. कृपया ग्रास जी.आई.एस. 7 एल्गोरिदम चलाने से पहले इसे कॉन्फ़िगर करें.	
Grass7Utils#3	GRASS GIS 7 binary {0} can't be found on this system from a shell. Please install it or configure your PATH {1} environment variable.		
Grass7Utils#4	GRASS 7 can't be found on this system from a shell. Please install it or configure your PATH environment variable.		
Grass7Utils#5	The specified GRASS 7 folder "{}" does not contain a valid set of GRASS 7 modules. Please, go to the Processing settings dialog, and check that the GRASS 7 folder is correctly configured		
Grass7Utils#6	It seems that GRASS GIS 7 is not correctly installed and configured in your system. Please install it before running GRASS GIS 7 algorithms.	लगता है आपके सिस्टम में ग्रास जी.आई.एस. 7 फ़ोल्डर सही तरीके से स्थापित और कॉन्फ़िगर नहीं किया गया है. कृपया ग्रास जी.आई.एस. 7 एल्गोरिदम चलाने से पहले इसे स्थापित करें.	
Grass7Utils#7	Error while checking GRASS GIS 7 installation. GRASS GIS 7 might not be correctly configured.	ग्रास जी.आई.एस. 7 स्थापना जाँचते समय गलती. हो सकता है ग्रास जी.आई.एस. 7 सही तरीके से कॉन्फ़िगर नहीं किया गया है.	
GrassAlgorithm#1	Could not open GRASS algorithm: %s. %s	ग्रास एल्गोरिदम नहीं खोली जा सकती: %s. %s	
GrassAlgorithm#2	GRASS region extent	ग्रास क्षेत्र विस्‍तार	
GrassAlgorithm#3	GRASS region cellsize (leave 0 for default)	ग्रास क्षेत्र कोशाणु-आकार (स्वतः मान के लिये 0 छोडें)	
GrassAlgorithm#4	GRASS folder is not configured. Please configure it before running GRASS algorithms.	ग्रास फ़ोल्डर कॉन्फ़िगर नहीं किया गया है. कृपया ग्रास एल्गोरिदम चलाने से पहले इसे कॉन्फ़िगर करें.	
GrassAlgorithm#5	GRASS execution commands	ग्रास निष्‍पादन आदेश	
GrassAlgorithm#6	v.surf.rst.line - Spatial approximation and topographic analysis using regularized spline with tension.	v.surf.rst.line - तनाव सहित नियमित स्प्लाइन के उपयोग से भौगोलिक सन्निकटन और स्थलाकृतिक विश्लेषण.	
GrassAlgorithm#7	v.clean.advanced - Toolset for cleaning topology of vector map (Advanced).	v.clean.advanced - वेक्‍टर मैप टोपोलॉजी को साफ करने के लिये साधन-सेट (उन्नत).	
GrassAlgorithm#8	r.slope - Generates raster maps of slope from a elevation raster map.	r.slope - एलिवेशन रास्टर मैप से ढलान के रास्टर मैप बनाता है.	
GrassAlgorithm#9	r.contour.step - Create vector contours from raster at specified steps	r.contour.step - निर्दिष्ट पडाव पर रास्टर से वेक्टर समोच्च रेखाओं का निर्माण करें	
GrassAlgorithm#10	v.buffer.distance - Creates a buffer around features of given type.	v.buffer.distance - दी गई प्रकार के नक्शा-अनुभागों के चारों ओर एक बफ़र का निर्माण करता है.	
GrassAlgorithm#11	v.surf.bspline.lambda - Bicubic or bilinear spline interpolation with Tykhonov regularization.	v.surf.bspline.lambda - तिखोनोव नियमितीकरण के साथ द्विघनीय या द्विरेखीय स्प्लाइन अंतरवेषण.	
GrassAlgorithm#12	r.cost.full - Creates a raster layer of cumulative cost of moving across a raster layer whose cell values represent cost.	r.cost.full - उस रास्टर लेयर में चलने की संचयी कीमत का रास्टर लेयर बनाता है, जिसके कोशाणु मान कीमत का प्रतिनिधित्व करते हैं.	
GrassAlgorithm#13	r.lake.coords - Fills lake at given point to given level.	r.lake.coords -झील को दिये गये स्थल में दिये गए स्तर तक भरता है.	
GrassAlgorithm#14	v.to.rast.value - Converts (rasterize) a vector layer into a raster layer.	v.to.rast.value - वेक्टर लेयर को रास्टर लेयर में परिवर्तित करता है (रास्टराइज़).	
GrassAlgorithm#15	v.distance.toattr - Finds the nearest element in vector map 'to' for elements in vector map 'from'.	v.distance.toattr - वेक्टर मैप 'from' के अवयव के लिए वेक्टर मैप 'to' में निकटतम अवयव का पता लगाता है.	
